"repeat_id"	"expt"	"analysis_type"	"true_base"	"b_base_lower"	"b_base_med"	"b_base_upper"	"true_sex"	"b_sex_p_value"	"b_sex_lower"	"b_sex_med"	"b_sex_upper"	"true_cond"	"b_cond_p_value"	"b_cond_lower"	"b_cond_med"	"b_cond_upper"	"true_sex_cond"	"b_sex_cond_p_value"	"b_sex_cond_lower"	"b_sex_cond_med"	"b_sex_cond_upper"
"11"	1	11	"anova"	0	0.434530797514502	0.475999999999999	0.517469202485496	0	0.735088852191904	-0.0486463085757855	0.0100000000000008	0.0686463085757872	0	0.457286498024938	-0.080646308575786	-0.0219999999999996	0.0366463085757869	2	2.65417561910118e-16	0.351061595029005	0.433999999999999	0.516938404970994
"12"	1	12	"anova"	0	0.447700186522696	0.488	0.528299813477304	0	0.780567200619118	-0.0489925427807087	0.00800000000000058	0.0649925427807099	0	0.780567200619062	-0.0649925427807091	-0.00799999999999978	0.0489925427807096	2	9.36847073158521e-16	0.329400373045392	0.41	0.490599626954608
"13"	1	13	"anova"	0	0.510901421565557	0.554	0.597098578434442	0	0.0618611275918422	-0.118950594140989	-0.0579999999999996	0.00295059414098958	0	0.120921685952286	-0.108950594140989	-0.0480000000000001	0.0129505941409892	2	1.66244591292666e-14	0.323802843131115	0.41	0.496197156868885
"14"	1	14	"anova"	0	0.439543208357367	0.482	0.524456791642632	0	0.741022861457246	-0.0700429705558589	-0.00999999999999976	0.0500429705558594	0	0.691709696166968	-0.0480429705558593	0.0119999999999999	0.0720429705558591	2	4.78965882977467e-15	0.331086416714735	0.416	0.500913583285265
"15"	1	15	"anova"	0	0.455107792870299	0.498	0.5408922071297	0	0.793513783818382	-0.0686587410429381	-0.00799999999999974	0.0526587410429386	0	0.513369519490226	-0.0406587410429385	0.0199999999999998	0.0806587410429382	2	6.62761672674494e-13	0.286215585740599	0.372	0.457784414259401
"16"	1	16	"anova"	0	0.453088340879146	0.494	0.534911659120854	0	0.731619735170137	-0.0478578231878966	0.0100000000000003	0.0678578231878972	0	0.493252270408737	-0.0378578231878969	0.0200000000000001	0.0778578231878971	2	4.04005529892075e-12	0.256176681758292	0.338	0.419823318241708
"17"	1	17	"anova"	0	0.478557558594544	0.516	0.553442441405456	0	0.369530089285602	-0.0769516084439552	-0.0239999999999995	0.0289516084439561	0	0.880806390123496	-0.0489516084439555	0.00400000000000021	0.0569516084439559	2	2.09124086345784e-15	0.299115117189088	0.374	0.448884882810911
"18"	1	18	"anova"	0	0.414902499337979	0.456	0.497097500662021	0	0.0368704977805354	0.00387935718413317	0.0620000000000001	0.120120642815867	0	0.0787549475264711	-0.0061206428158671	0.0519999999999999	0.110120642815867	2	1.78106866109925e-10	0.221804998675959	0.304	0.386195001324042
"19"	1	19	"anova"	0	0.436480450620179	0.472	0.507519549379821	0	0.00863352203293378	0.017767771537677	0.0680000000000004	0.118232228462324	0	0.157567889685116	-0.0142322284623235	0.036	0.0862322284623235	2	3.77522533819397e-12	0.222960901240358	0.294	0.365039098759642
"20"	1	20	"anova"	0	0.472000039532487	0.506	0.539999960467513	0	0.934194378566628	-0.0500832052133058	-0.00199999999999969	0.0460832052133064	0	0.410022485973295	-0.0680832052133064	-0.0200000000000002	0.028083205213306	2	2.22250424899804e-18	0.326000079064974	0.394	0.461999920935026
"21"	1	21	"anova"	0	0.41114187875295	0.453999999999999	0.496858121247049	0	0.152331280494719	-0.0166105363254078	0.0440000000000002	0.104610536325408	0	0.0799936120452855	-0.0066105363254081	0.054	0.114610536325408	2	1.70939347247698e-11	0.254283757505901	0.34	0.4257162424941
"22"	1	22	"anova"	0	0.452235646409617	0.496	0.539764353590382	0	0.277361932459395	-0.0278921423960106	0.0340000000000001	0.0958921423960108	0	0.797536528690701	-0.0698921423960111	-0.00800000000000033	0.0538921423960104	2	7.0651939676048e-12	0.268471292819235	0.356	0.443528707180766
"23"	1	23	"anova"	0	0.48304955875772	0.528	0.57295044124228	0	0.617616037705245	-0.0795695236394865	-0.0159999999999997	0.047569523639487	0	0.662174998092157	-0.077569523639487	-0.0140000000000001	0.0495695236394867	2	8.2994694489218e-12	0.274099117515441	0.364	0.453900882484559
"24"	1	24	"anova"	0	0.485466627188841	0.524	0.562533372811158	0	0.770788577740303	-0.0624944184335184	-0.00799999999999978	0.0464944184335188	0	0.884156284236507	-0.0584944184335189	-0.00400000000000024	0.0504944184335184	2	1.41365551496638e-14	0.290933254377684	0.368	0.445066745622317
"25"	1	25	"anova"	0	0.482395087986597	0.524	0.565604912013403	0	0.0203512946804953	-0.128838230830693	-0.0699999999999997	-0.0111617691693061	0	0.892653684439825	-0.0548382308306937	0.00399999999999994	0.0628382308306935	2	1.34381176179551e-16	0.358790175973195	0.442	0.525209824026806
"26"	1	26	"anova"	0	0.482548422020772	0.524	0.565451577979228	0	0.379830314515013	-0.08462138375999	-0.0259999999999999	0.0326213837599902	0	0.94600358961468	-0.0566213837599905	0.00199999999999972	0.06062138375999	2	2.69299893216645e-13	0.285096844041544	0.368	0.450903155958457
"27"	1	27	"anova"	0	0.483425354441155	0.526	0.568574645558845	0	0.324166655323599	-0.0902096411625458	-0.0299999999999998	0.0302096411625462	0	0.843204356027728	-0.0542096411625466	0.00599999999999954	0.0662096411625457	2	4.98727428558707e-13	0.28685070888231	0.372	0.457149291117691
"28"	1	28	"anova"	0	0.503054349725463	0.542	0.580945650274536	0	0.196914522529571	-0.0910774668136889	-0.0359999999999998	0.0190774668136894	0	0.47176111381423	-0.0750774668136895	-0.0200000000000002	0.035077466813689	2	2.03301047893428e-16	0.332108699450927	0.41	0.487891300549074
